0.0013705,0.052336
0.0054781,0.10453
0.012312,0.15643
0.021852,0.20791
0.034074,0.25882
0.048943,0.30902
0.06642,0.35837
0.086455,0.40674
0.10899,0.45399
0.13397,0.5
0.16133,0.54464
0.19098,0.58779
0.22285,0.62932
0.25686,0.66913
0.29289,0.70711
0.33087,0.74314
0.37068,0.77715
0.41221,0.80902
0.45536,0.83867
0.5,0.86603
0.54601,0.89101
0.59326,0.91355
0.64163,0.93358
0.69098,0.95106
0.74118,0.96593
0.79209,0.97815
0.84357,0.98769
0.89547,0.99452
0.94766,0.99863
1,1
1.0523,0.99863
1.1045,0.99452
1.1564,0.98769
1.2079,0.97815
1.2588,0.96593
1.309,0.95106
1.3584,0.93358
1.4067,0.91355
1.454,0.89101
1.5,0.86603
1.5446,0.83867
1.5878,0.80902
1.6293,0.77715
1.6691,0.74314
1.7071,0.70711
1.7431,0.66913
1.7771,0.62932
1.809,0.58779
1.8387,0.54464
1.866,0.5
1.891,0.45399
1.9135,0.40674
1.9336,0.35837
1.9511,0.30902
1.9659,0.25882
1.9781,0.20791
1.9877,0.15643
1.9945,0.10453
1.9986,0.052336
2,0
1.9986,-0.052336
1.9945,-0.10453
1.9877,-0.15643
1.9781,-0.20791
1.9659,-0.25882
1.9511,-0.30902
1.9336,-0.35837
1.9135,-0.40674
1.891,-0.45399
1.866,-0.5
1.8387,-0.54464
1.809,-0.58779
1.7771,-0.62932
1.7431,-0.66913
1.7071,-0.70711
1.6691,-0.74314
1.6293,-0.77715
1.5878,-0.80902
1.5446,-0.83867
1.5,-0.86603
1.454,-0.89101
1.4067,-0.91355
1.3584,-0.93358
1.309,-0.95106
1.2588,-0.96593
1.2079,-0.97815
1.1564,-0.98769
1.1045,-0.99452
1.0523,-0.99863
1,-1
0.94766,-0.99863
0.89547,-0.99452
0.84357,-0.98769
0.79209,-0.97815
0.74118,-0.96593
0.69098,-0.95106
0.64163,-0.93358
0.59326,-0.91355
0.54601,-0.89101
0.5,-0.86603
0.45536,-0.83867
0.41221,-0.80902
0.37068,-0.77715
0.33087,-0.74314
0.29289,-0.70711
0.25686,-0.66913
0.22285,-0.62932
0.19098,-0.58779
0.16133,-0.54464
0.13397,-0.5
0.10899,-0.45399
0.086455,-0.40674
0.06642,-0.35837
0.048943,-0.30902
0.034074,-0.25882
0.021852,-0.20791
0.012312,-0.15643
0.0054781,-0.10453
0.0013705,-0.052336
0,0
